name,category,text,text_length,has_pics,has_response
Mavericks Steak & Cocktails,Steak house,"It was good, a little pricy, but the wings were great and I enjoyed the service and atmosphere!",95,False,False
Bumpin Buffalo Bar and Grill,"Bar & grill, Family restaurant, Group accommodation, Restaurant, Wine bar",Food was great. Service was fantastic. Buffalo burger was phenomenal.,69,False,False
Sickies Garage Burgers & Brews,"Hamburger restaurant, American restaurant, Bar & grill, Brewpub, Sports bar","Have great burgers and fries. My wife loves the Perrogies, but they took them off the menu. Booo! I love the various types of burgers. I tried one with an egg, pineapple, bbq sauce and cheese. AMAZING. Never thought that one would be but i watched someone enjoy it and then tried it. I will order that one again. Bring back the Perrogies.",338,False,False
T-Grille Restaurant,American restaurant,"Overpriced.
Staff reluctant and even rude.  I'll never go back.",63,False,False
Auto Choice,Used car dealer,Nice Truck purchase! No pressure sale...thank you Preston. I will send friends and family their way when in the market for a vehicle.,133,False,True
Baltic Corner,"Restaurant, Bar & grill",The service was impeccable!! :-),32,False,False
Vern Eide Motoplex,"ATV dealer, Motorcycle dealer, Motorcycle parts store, Snowmobile dealer, Used motorcycle dealer",Lots of stuff,13,False,False
Rush No More RV Resort and Campground,"RV park, Campground, Caterer, Event venue, Mountain cabin, Wedding venue",Always a great place to stay. Very clean bathrooms. Awesome staff. Beautiful scenery,84,False,True
Pizza Ranch,"Buffet restaurant, Chicken restaurant, Delivery Restaurant, Pizza delivery, Pizza restaurant, Pizza Takeout, Restaurant",Better WIFI friendly staff and all you can eat. Thank you guys.,63,False,False
Grille 26,"Bar & grill, Bar, Dessert restaurant, Family restaurant, Restaurant, Salad shop, Steak house",Went here for lunch with my wife! Food was delicious. We got there a tad bit after 11 and it was fairly empty. It does get very busy during the noon hour! I had the Reuben and would 100% get it again!,200,False,False
Sabatino's Italian Ristorante,Italian restaurant,"Excellent food made from scratch and superb service. A real gem. We were in town only 3 nights and went there twice! Tried multiple apps, entrees, and desserts and all were fantastic. Owner really appreciates your business and aims to please.",242,False,False
The Journey Museum and Learning Center,"Museum, Art museum, Children's museum, Event venue, History museum, Tourist attraction",My daughter loved the wide range of history about the local area.  The exhibits are really well done and engaging.  The staff was super helpful.,144,True,True
Firehouse Brewing Company,"Brewpub, American restaurant, Bar & grill, Barbecue restaurant, Brewery, Live music venue, Pub, Restaurant, Winery","I have never been disappointed by the Firehouse the food, beer, atmosphere and super staff are all the best. It is no wonder it is the busiest restaurant in the state. I like to wait for my table at the Firehouse Wine Cellars",225,False,False
Flying J Travel Center,"Truck stop, Gas station",Neat and clean,14,False,False
McDonald's,"Fast food restaurant, Breakfast restaurant, Coffee shop, Hamburger restaurant, Restaurant, Sandwich shop",Super fast,10,False,False
Maverik Country Store,Gas station,Quick,5,False,False
Subway,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",These sandwiches are tops for flavor and freshness...and there are no limits to the number of toppings you can have them put on.,128,False,False
Blarney Stone Pub- Sioux Falls,"Irish restaurant, Bar, Bar & grill, Pub, Sports bar","Great atmosphere whether you want to socialize with friends, grab a quick drink, or sit down to eat. The food is top notch (emerald chicken sandwich is my favorite) and you can't beat the $6.99 lunch special when it comes to the amount of food you get. Free winga are served in the downstairs area during happy hour as well.",324,False,False
Sunshine Foods,"Grocery store, Supermarket",Clean and convenient,20,False,False
kRav'N,"Bar & grill, Bar, Casino, Restaurant","I wish I liked this restaurant. It is in a great location, has a nice patio and bar, but the food is so so so boring. I've tried numerous things off the menu over the years when friends want to go there and each time it is so underwhelming. That said, my family members that hate any semi spicy, ethnic or non starch foods really like it... so if bland is your jam, and you believe ketchup goes with everything, then this may be the place for you.",447,False,False
Falls Park,"Park, Tourist attraction",This place is amazing. If you visit Sioux Falls this is a must stop. The park is beautiful and the falls are breathtaking with outstanding rock structures.,155,False,False
Spur Creek Saloon & Ranch,Wedding venue,"Here for horse vs biker rodeo during Sturgis bike week.
Old school rodeo.",73,False,False
Billion Auto - Chrysler Jeep Dodge RAM in Sioux Falls,"Car dealer, Auto tune up service, Chauffeur service, Chrysler dealer, Dodge dealer, Jeep dealer, Oil change service, Truck dealer, Used car dealer",Great sales man (Jeff N) pays attention to needs and was open to helping us find exactly what we wanted.  The gentleman who helped with the financing did not over sell additions that we stated we did not need and was willing to go above and beyond to get the best rate that the company could offer.,298,False,True
Medary Village Mobile Home Park,Mobile home park,Had a public laundry that was handy after a day of soccer,57,False,False
